GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
im-sdk-core,com.easemob.im.server.api.block.group.join,UnblockUserJoinGroupResponse.UnblockUserJoinGroupResource,0,6,0,0,0,3,0,1,0,1
im-sdk-core,com.easemob.im.server.api.block.group.join,BlockUserJoinGroup,14,171,2,2,4,28,2,16,0,16
im-sdk-core,com.easemob.im.server.api.block.group.join,BlockUserJoinGroupResponse,1,16,2,2,0,4,2,2,0,2
im-sdk-core,com.easemob.im.server.api.block.group.join,BlockUserJoinGroupResponse.BlockUserJoinGroupResource,0,6,0,0,0,3,0,1,0,1
im-sdk-core,com.easemob.im.server.api.block.group.join,GetBlockedUsersResponse,0,9,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.codec,JsonCodec,45,56,1,1,6,15,1,3,0,3
im-sdk-core,com.easemob.im.server.api.block.room.join,GetBlockedUsersResponse,0,9,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.block.room.join,BlockUserJoinRoomResponse,1,16,2,2,0,4,2,2,0,2
im-sdk-core,com.easemob.im.server.api.block.room.join,UnblockUserJoinRoomResponse.UnblockUserJoinRoomResource,0,6,0,0,0,3,0,1,0,1
im-sdk-core,com.easemob.im.server.api.block.room.join,BlockUserJoinRoom,14,171,2,2,4,28,2,16,0,16
im-sdk-core,com.easemob.im.server.api.block.room.join,UnblockUserJoinRoomResponse,1,16,2,2,0,4,2,2,0,2
im-sdk-core,com.easemob.im.server.api.block.room.join,BlockUserJoinRoomResponse.BlockUserJoinRoomResource,0,6,0,0,0,3,0,1,0,1
im-sdk-core,com.easemob.im.server.api.contact.user,ContactUserListResponse,0,9,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.contact.user,ContactUser,27,96,0,0,2,15,2,9,2,9
im-sdk-core,com.easemob.im.server,EMException,5,4,0,0,2,2,1,1,1,1
im-sdk-core,com.easemob.im.server,EMProxy,64,0,0,0,12,0,7,0,7,0
im-sdk-core,com.easemob.im.server,EMService,117,0,0,0,25,0,12,0,12,0
im-sdk-core,com.easemob.im.server,EMProxy.Builder,104,0,10,0,17,0,12,0,7,0
im-sdk-core,com.easemob.im.server,EMVersion,3,5,0,0,1,2,1,2,1,2
im-sdk-core,com.easemob.im.server,EMProperties.Builder,86,117,5,21,12,28,7,15,3,6
im-sdk-core,com.easemob.im.server,EMProperties,60,48,0,0,5,15,3,8,3,8
im-sdk-core,com.easemob.im.server.api.message.send,SendMessageRequest,178,56,28,5,38,15,25,3,6,2
im-sdk-core,com.easemob.im.server.api.message.send,SendMessageRequest.Dimensions,0,15,0,0,0,6,0,3,0,3
im-sdk-core,com.easemob.im.server.api.message.send,SendMessage.MessageSpec,20,155,0,0,3,26,1,8,1,8
im-sdk-core,com.easemob.im.server.api.message.send,SendMessage.SendSpec,0,46,1,1,0,11,1,3,0,3
im-sdk-core,com.easemob.im.server.api.message.send,SendMessageRequest.Message,243,273,28,19,53,63,28,17,2,9
im-sdk-core,com.easemob.im.server.api.message.send,SendMessageResponse,14,12,2,0,4,4,3,2,2,2
im-sdk-core,com.easemob.im.server.api.message.send,SendMessage,0,79,0,0,0,11,0,7,0,7
